productSlug,customerName,customerEmail,rating,title,comment,isVerifiedPurchase,createdAt
firecracker-moonrocks-15g,John,john@example.com,5,Amazing Quality,Amazing quality! Very potent and smooth. Definitely worth the price.,TRUE,2025-08-25
firecracker-moonrocks-15g,Sarah,sarah@example.com,4,Good but pricey,Good product but a bit pricey. Effects are strong though.,FALSE,2025-07-21
firecracker-moonrocks-15g,Mike,mike@example.com,5,Perfect for evening,Perfect for evening use. Great flavor and potency.,TRUE,2025-06-19
twisted-extracts-cara-melts-80mg,Lisa,lisa@example.com,5,Perfect dosage,Perfect dosage and great taste! Will definitely order again.,TRUE,2025-08-09
twisted-extracts-cara-melts-80mg,David,david@example.com,4,Takes time to work,Good edibles but took a while to kick in. Worth the wait though.,FALSE,2025-07-29
twisted-extracts-cara-melts-80mg,Sienna,david@example.com,5,Takes time to work,works great,TRUE,2025-06-24
twisted-extracts-cara-melts-80mg,Arthur,david@example.com,4,Takes time to work,buzz is great,FALSE,2025-05-28
twisted-extracts-cara-melts-80mg,Rick,david@example.com,5,Takes time to work,This is my third order of caramelts,TRUE,2025-04-15
twisted-extracts-cara-melts-80mg,Tina,david@example.com,5,Takes time to work,can't go wrong with twisted,TRUE,2025-03-12
twisted-extracts-cara-melts-80mg,Samson,david@example.com,5,Takes time to work,would buy again.  Amazing product,FALSE,2025-02-19
twisted-extracts-cara-melts-80mg,Ralph,david@example.com,4,Takes time to work,Everything went smoothly. Products arrived in a couple of day and so far I am enjoying the products,TRUE,2025-01-28
twisted-extracts-cara-melts-80mg,Sarah,david@example.com,4,Takes time to work,"I was so excited when I saw the caramel offered in sativa, as indica puts me to sleep! This was my second order! I love the focus you can have on these, calm, cool and just very enjoyable!",FALSE,2025-01-11
twisted-extracts-cara-melts-80mg,Conner,david@example.com,4,Takes time to work,Was pleased with product,TRUE,2024-12-05
blueberry-dream,Emma,david@example.com,5,Takes time to work,Excellent strain! Very relaxing and helps with sleep.,TRUE,2025-08-24
blueberry-dream,Alex,david@example.com,4,Takes time to work,Nice flavor and good effects. Would recommend for beginners.,FALSE,2025-08-01
blueberry-dream,Aidan,david@example.com,4,Takes time to work,"Burned smooth, and tasted good enough. Good evening smoke or day time for seasoned puffers.",TRUE,2025-07-25
blueberry-dream,Julie,david@example.com,5,Takes time to work,Great service fast and reliable and very competitive pricing. My choice in a very competitive industry.,FALSE,2025-07-11
blueberry-dream,Hong,david@example.com,4,Takes time to work,A little stronger than I expected not dissapointed,TRUE,2025-06-29
blueberry-dream,Terry,david@example.com,4,Takes time to work,The high is pleasant but didn't last as long as I'd like.,TRUE,2025-06-17
blueberry-dream,Sonia,david@example.com,5,Takes time to work,"Nice consistency, burns well in joints. Can't beat the price, no shake",FALSE,2025-06-01
blueberry-dream,Donald,david@example.com,3,Takes time to work,Good but not as strong as I’d want.,TRUE,2025-05-24
blueberry-dream,David,david@example.com,5,Takes time to work,Great bang for your buck. Quality is quite good,FALSE,2025-04-11
blueberry-dream,Tim,david@example.com,4,Takes time to work,Disappointed by the smell but taste ok and feel ok,TRUE,2025-03-12
apricot-kush,Josh,david@example.com,4,Takes time to work,Great high. Taste is earthy and dank.,TRUE,2025-09-01
apricot-kush,Steven,david@example.com,4,Takes time to work,This strain makes me want to eat all the food while sitting in my butt groove on my couch.,FALSE,2025-08-21
apricot-kush,Ray,david@example.com,5,Takes time to work,A smooth and delicious evening treat.This relaxed my body and my brain so my evening was delightfull,TRUE,2025-08-04
apricot-kush,Allen,david@example.com,4,Takes time to work,I smoke just one and I’m off to sleep. Good price and taste.,FALSE,2025-07-08
apricot-kush,Karl,david@example.com,3,Takes time to work,"Flavour and aroma are good. Buds are a little on the small side, but I personally don’t really mind that. Pretty reliable high with a nice balance between body and head effects.",TRUE,2025-06-28
apricot-kush,Sarah,david@example.com,4,Takes time to work,Excellent for sleep issues and for my RA problems,TRUE,2025-06-23
apricot-kush,Anthony,david@example.com,4,Takes time to work,"Good buzz, smokes wells and not harsh",FALSE,2025-06-02
apricot-kush,Edward,david@example.com,3,Takes time to work,buds are small.  Smokes good though,TRUE,2025-05-15
